Date,Tweets,Location,Sentiment Polarity
2019-03-05 16:30:11,b RT Hariom Can U name even 1 political party in Pakistan amp our Kashmir which has not questioned the SurgicalStrike2 nU can t coz a xe2 x80 xa6,b'',0.0
2019-03-05 16:30:09,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'Badrinath',0.5
2019-03-05 16:30:09,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,b'',0.275
2019-03-05 16:30:07,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,"b'Narnaul, India'",0.5
2019-03-05 16:30:06,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,"b'Bengaluru, India'",0.275
2019-03-05 16:29:59,Bitter Gujju Shame on Congress Party and the Republic of Pakistan now openly supporting the Congress;,"b'Navi Mumbai, India'",0.075
2019-03-05 16:29:57,b sgh Cong should align with AAP in Delhi,b'Kolkata',0.0
2019-03-05 16:29:55,b RT Today s issue thuglak IN tells the high committee that started a party in India wants to joi xe2 x80 xa6,b'Chennai',0.18
2019-03-05 16:29:55,b has studied from Harvard amp has a MPhil from Trinity College Cambridge Really xf0 x9f x98 x83Let M xe2 x80 xa6,b'India',0.2
2019-03-05 16:29:55,b RT will hold Congress Working Committee meet amp Jan Sankalp Rally in Gujarat on the historic day of 12th March t xe2 x80 xa6,"b'Navsari, Gujarat'",0.0
2019-03-05 16:29:51,b RT Shocking statement from CONgress leader Belur Gopalakrishna he calls out to assassinate PM n nTo appease a pa xe2 x80 xa6,b'\xe0\xa4\x9c\xe0\xa5\x88 \xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\x82\xe0\xa4\xa6 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xb8\xe0\xa5\x87\xe0\xa4\xa8\xe0\xa4\xbe\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xe0\xa4\xb5\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa5\x87 \xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa4\xe0\xa4\xb0\xe0\xa4\xae\xe0\xa5\x8d',-1.0
2019-03-05 16:29:47,b RT sharma I am glad this Jai Chand has started speaking again Wish Mani Aiyar and Khurshid also join in Together with xe2 x80 xa6,b'',0.5
2019-03-05 16:29:43,b RT 5000 RTs on this tweet and will ask for proof amp number of casualities in these 3 surgical strikes from xe2 x80 xa6,b'India',0.0
2019-03-05 16:29:42,b inc xe2 x80 xa6,"b'Guwahati, India'",0.0
2019-03-05 16:29:40,b will congress act on this before Digi claims it to be slip of tung,"b'Mumbai, India'",0.0
2019-03-05 16:29:34,b RT In what capacity nDynasty has run parallel government all the time nDynasty continues to prev xe2 x80 xa6,b'Mumbai',0.0
2019-03-05 16:29:34,b harsha But still WC AbhinandanVarthaman had to go thru similar situation as Sq Ldr xe2 x80 xa6,"b'Karnataka, India'",0.0
2019-03-05 16:29:30,b RT inc It suits to pappu I think,"b'\xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa5\x8c\xe0\xa4\xb0, \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4'",0.0
2019-03-05 16:29:28,b RT MPhil from Trinity College Have standards dropped so low He wouldn t have even passed e xe2 x80 xa6,b'BHARATH BHUMI\xe2\x9b\xb3 .',0.0
2019-03-05 16:29:22,b Tpuram is your consolation xe2 x80 xa6,b'Bangalore',0.0
2019-03-05 16:29:21,b in Why did he mock Because he is a person like that with no con xe2 x80 xa6,b'Contai',0.0
2019-03-05 16:29:20,b The one thing I can agree on The Haryana Government should not pass the proposal of a law which liter xe2 x80 xa6,"b'Bengaluru, India'",0.0
2019-03-05 16:29:16,b if you are in the trap of RSS for Delhi awoke an see facts,b'India',0.0
2019-03-05 16:29:12,b Btw if RaGa was not member of CCS no MOD no member of Defence xe2 x80 xa6,"b'Maharashtra, India'",-0.1
2019-03-05 16:29:11,b RT Shocking statement from CONgress leader Belur Gopalakrishna he calls out to assassinate PM n nTo appease a pa xe2 x80 xa6,"b'Bengaluru, India'",-1.0
2019-03-05 16:29:02,b Will 28 mAsk for proof Please,b'Mumbai',0.0
2019-03-05 16:29:01,b RT Shri President launched ChaloPanchayatChaloWardAbhiyan today at Congress Bhawan in the presence o xe2 x80 xa6,"b'Mumbai, India'",0.0
2019-03-05 16:28:59,b you said right with wrong pics All world know its for who is 50 years old young leader xe2 x80 xa6,b'\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 ',-0.0035714285714285726
2019-03-05 16:28:58,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,"b'Bengaluru South, India'",0.5
2019-03-05 16:28:56,b RT Please watch the magic of appearing amp disappearing plates at 23 30 amp 50 seconds,b'',0.5
2019-03-05 16:28:52,b RT Congress President welcomes Ferozepur MP Shri Sher Singh Ghubaya to the Congress party We wish him all the best xe2 x80 xa6,b'Mandi adampur hisar',1.0
2019-03-05 16:28:51,Bitter Gujju Shame on Congress Party and the Republic of Pakistan now openly supporting the Congress;,"b'Pune, India'",0.075
2019-03-05 16:28:49,Bitter Gujju Shame on Congress Party and the Republic of Pakistan now openly supporting the Congress;,b'BHARATH BHUMI\xe2\x9b\xb3 .',0.075
2019-03-05 16:28:44,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,b'',0.275
2019-03-05 16:28:39,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'',0.5
2019-03-05 16:28:39,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'',0.5
2019-03-05 16:28:28,b RT After CP s successful rally the BJP Shiv Sena Govt has been shaken As a result of which they re spreading xe2 x80 xa6,b'\xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\x9c\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\x82 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\x85\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9b\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa5\x81\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe\xe0\xa4\xa8 ',0.75
2019-03-05 16:28:23,b Loss of indian foreign policy End of preferential trade with usa xe2 x80 xa6,"b'New Delhi, India'",-0.125
2019-03-05 16:28:22,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,b'Aukaat ',0.275
2019-03-05 16:28:20,b HMO again Mr Rajnathji are you listening,b'India',0.0
2019-03-05 16:28:19,Bitter Gujju Shame on Congress Party and the Republic of Pakistan now openly supporting the Congress;,"b'Deoria, India'",0.075
2019-03-05 16:28:10,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,"b'Hisar, Gurgaon India'",0.275
2019-03-05 16:28:10,b Don t underestimate people Mr Modi Do not play with fire Time is not far away when you will be thrown into the xe2 x80 xa6,"b'Vijayawada,India'",-0.05
2019-03-05 16:28:08,b RT Shocking Video J amp K n nWhat President has to say on this Congress MLC On Sale n n MLC as xe2 x80 xa6,b'UP \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa4\xbe \xe0\xa4\xad\xe0\xa4\x88\xe0\xa4\xaf\xe0\xa4\xbe',-1.0
2019-03-05 16:28:05,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,"b'Ghazipur, India'",0.5
2019-03-05 16:28:05,b Congress should tie up with aap anyhww,"b'Rohini, New Delhi'",0.0
2019-03-05 16:28:04,"Work has been done with the candidacy of the B-Railway Group D, whose number is 50. Their selection will be 2 x 80 x 6","b'Madhubani, India'",0.0
2019-03-05 16:28:02,"By the way, result with RAW marks a big scam, 10000 x 200 x 80 x 6 in the name of normalists","b'Alwar, Rajasthan '",-0.11538461538461539
2019-03-05 16:28:02,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,"b'New Delhi, India'",0.5
2019-03-05 16:27:58,b RT And the mohalla clinics are a big hit with everyone Don t fo xe2 x80 xa6,b'',0.0
2019-03-05 16:27:57,b RT Prime Minister playing with sentiments of Crores of Indian people s to divert attention from his BJP Govern xe2 x80 xa6,"b'Rewa, India'",0.0
2019-03-05 16:27:57,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,b'India',0.275
2019-03-05 16:27:56,b Better 4 Mom to provide him with a half sleeves KURTA so that he may not have to pull xe2 x80 xa6,b'pune',0.16666666666666669
